Postcode,Borough,Neighbourhood,Latitude,longitude
M1B,Scarborough,"Rouge, Malvern",43.8113,-79.193
M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union",43.7878,-79.1564
M1E,Scarborough,"Guildwood, Morningside, West Hill",43.7678,-79.1866
M1G,Scarborough,Woburn,43.7712,-79.2144
M1H,Scarborough,Cedarbrae,43.7686,-79.2389
M1J,Scarborough,Scarborough Village,43.7464,-79.2323
M1K,Scarborough,"East Birchmount Park, Ionview, Kennedy Park",43.7298,-79.2639
M1L,Scarborough,"Clairlea, Golden Mile, Oakridge",43.7122,-79.2843
M1M,Scarborough,"Cliffcrest, Cliffside, Scarborough Village West",43.7247,-79.2312
M1N,Scarborough,"Birch Cliff, Cliffside West",43.6952,-79.2646
M1P,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.7612,-79.2707
M1R,Scarborough,"Maryvale, Wexford",43.7507,-79.3003
M1S,Scarborough,Agincourt,43.7946,-79.2644
M1T,Scarborough,"Clarks Corners, Sullivan, Tam O'Shanter",43.7812,-79.3036
M1V,Scarborough,"Agincourt North, L'Amoreaux East, Milliken, Steeles East",43.8177,-79.2819
M1W,Scarborough,L'Amoreaux West,43.8016,-79.3216
M1X,Scarborough,Upper Rouge,43.833999999999996,-79.2069
M2H,North York,Hillcrest Village,43.8015,-79.3577
M2J,North York,"Fairview, Henry Farm, Oriole",43.7801,-79.3479
M2K,North York,Bayview Village,43.7797,-79.3813
M2L,North York,"Silver Hills, York Mills",43.7547,-79.3764
M2M,North York,"Newtonbrook, Willowdale",43.7915,-79.4103
M2N,North York,Willowdale South,43.7673,-79.4111
M2P,North York,York Mills West,43.75,-79.3978
M2R,North York,Willowdale West,43.7786,-79.445
M3A,North York,Parkwoods,43.7545,-79.33
M3B,North York,Don Mills North,43.745,-79.359
M3C,North York,"Flemingdon Park, Don Mills South",43.7334,-79.3329
M3H,North York,"Bathurst Manor, Downsview North, Wilson Heights",43.7535,-79.4472
