,Borough,Neighborhood,Total records,Robbery,Street robbery,Total physical injury,Serious bodily harm,Coercion,Total theft,Bicycle theft,Burglary,Property damage,Drug offenses
1,Mitte,Tiergarten Süd,4895,65,54,462,108,125,2519,231,64,239,139
2,Mitte,Regierungsviertel,9648,94,66,483,86,124,5797,310,54,350,70
3,Mitte,Alexanderplatz,21561,165,102,1338,368,313,12479,1266,222,1065,534
4,Mitte,Brunnenstraße Süd,4611,34,23,251,52,79,2631,541,91,399,67
5,Mitte,Moabit West,9095,103,57,717,222,189,3146,468,138,576,642
6,Mitte,Moabit Ost,13598,79,42,770,185,217,3372,514,147,480,444
7,Mitte,Osloer Straße,7929,85,49,754,184,216,3922,337,187,481,249
8,Mitte,Brunnenstraße Nord,6861,81,42,601,179,184,3139,346,141,532,236
9,Mitte,Parkviertel,7231,64,32,686,172,222,3774,367,120,597,205
10,Mitte,Wedding Zentrum,10374,115,67,1033,285,295,4270,442,190,690,651
11,Mitte,"Bezirk (Mi), nicht zuzuordnen",5424,91,77,310,95,83,3736,216,0,167,113
13,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,10181,192,114,689,230,199,4851,587,136,671,749
14,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,11442,114,60,792,231,237,6237,1155,204,901,284
15,Friedrichshain-Kreuzberg,nördliche Luisenstadt,6937,125,78,559,234,104,3295,359,63,528,608
16,Friedrichshain-Kreuzberg,südliche Luisenstadt,5749,137,90,435,158,90,2537,360,61,532,1078
17,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,2800,31,15,223,51,58,1568,265,78,298,28
18,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,6255,108,72,524,161,95,3281,411,61,454,421
19,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,4636,30,12,308,84,97,2150,508,63,618,143
20,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,9816,129,69,899,249,158,4589,810,108,1164,956
21,Friedrichshain-Kreuzberg,"Bezirk (Fh-Kb), nicht zuzuordnen",2416,81,64,130,55,46,1476,191,1,128,164
23,Pankow,Buch,1801,11,5,179,42,77,948,107,51,191,26
24,Pankow,Blankenfelde/Niederschönhausen,1651,7,0,151,27,61,784,132,91,174,27
25,Pankow,Buchholz,888,1,0,43,5,41,460,38,53,100,9
26,Pankow,Karow,796,5,2,71,12,23,379,88,72,82,12
27,Pankow,Blankenburg/Heinersdorf/Märchenland,1424,4,3,64,17,35,813,101,76,94,6
28,Pankow,Schönholz/Wilhelmsruh/Rosenthal,1012,8,3,72,14,25,519,75,64,94,8
29,Pankow,Pankow Zentrum,3579,23,14,240,43,96,2104,522,106,309,36
30,Pankow,Pankow Süd,2972,20,12,176,32,68,1384,386,60,323,39
31,Pankow,Weißensee,3717,32,22,330,72,123,1954,313,72,428,57
32,Pankow,Weißensee Ost,1496,9,1,119,18,46,667,76,37,181,33
33,Pankow,Prenzlauer Berg Nordwest,3984,33,19,229,59,82,2404,488,87,333,83
34,Pankow,Prenzlauer Berg Nord,3628,26,10,158,37,63,2142,557,71,332,35
35,Pankow,Helmholtzplatz,2509,21,7,155,31,57,1546,352,71,262,45
36,Pankow,Prenzlauer Berg Ost,4529,37,21,293,71,78,2608,447,110,562,61
37,Pankow,Prenzlauer Berg Südwest,4245,25,9,327,93,89,2569,535,114,372,28
38,Pankow,Prenzlauer Berg Süd,3187,19,8,157,33,44,1730,442,97,372,39
39,Pankow,"Bezirk (Pk), nicht zuzuordnen",1640,35,27,70,22,27,813,176,0,87,51
41,Charlottenburg-Wilmersdorf,Charlottenburg-Nord,3169,37,17,312,71,134,1352,66,51,274,197
42,Charlottenburg-Wilmersdorf,Heerstrasse,1474,9,5,146,39,32,616,68,79,136,23
43,Charlottenburg-Wilmersdorf,Westend,4843,26,11,318,64,128,2938,172,69,268,36
44,Charlottenburg-Wilmersdorf,Schloß Charlottenburg,2500,17,6,229,32,81,1294,228,59,196,46
45,Charlottenburg-Wilmersdorf,Mierendorffplatz,2041,26,11,136,25,77,866,84,28,194,38
46,Charlottenburg-Wilmersdorf,Otto-Suhr-Allee,5358,48,29,430,91,131,2747,409,90,426,58
47,Charlottenburg-Wilmersdorf,Neue Kantstraße,3045,42,23,231,62,91,1586,278,61,191,56
48,Charlottenburg-Wilmersdorf,Kantstraße,5282,46,25,312,67,84,3036,353,88,234,147
49,Charlottenburg-Wilmersdorf,Kurfürstendamm,8561,110,61,687,177,163,4770,275,72,368,99
50,Charlottenburg-Wilmersdorf,Halensee,1975,15,7,112,28,60,1122,112,52,105,21
